Num,URL,Title,Date,Full Content,Categories,Tags
11,https://dsisaev.livejournal.com/15036.html,Ответ на письмо.,"April 27 2012, 11:28","Добрый день, ....!
Спасибо за искреннее письмо и рефлексию группы. Совершенно нормальные вопросы, никакого бреда. Давайте разбираться.
Все начинается с телесного ""хочу"", сопровождается иллюзорным восприятием потенциального партнера. Возникает сильное чувство, от которого получаешь удовольствия больше, чем от самого человека. Это влюбленность. И это прекрасно, хотя к реальности имеет мало отношения, иллюзия ведь.. Она неизбежно проходит с наступлением полового насыщения. Опьянение исчезает и начинаешь узнавать что к чему на самом деле.
Вот тут критический момент - все начинается заново, только без наркотической страсти. И вот в это время, часто уже после рождения ребенка, после свершившихся конфликтов, может появиться реальная близость. И вот именно близость - возможность во всем быть открытой с партнером - может быть долгой и свежей, сопровождаться прекрасным сексом и бесконечными открытиями в супруге чего-то нового и интересного. Как я понимаю, это и есть любовь.
Это точно возможно, я знаю не мало примеров таких отношений, в них обязательно будут конфликты, но точно не будет скуки.
Теперь: что этому мешает. Два аспекта: из прошлого и в настоящем.
Из прошлого мы тянем на себе раннюю детскую обиду. Она проецируется на близких и мешает проявлению истинных чувств, требует постоянного подкрепления. Значит, другой должен быть постоянно виноват. Это может длится очень долго, полюса - обида - вина - могут меняться у партнеров, но будет неизбежно нарастать раздражение и компенсироваться чем-то внешним (болезнью, любовниками, работой, алкоголем и тд.).
В настоящем супруги утрачивают важнейшее условие сохранения близости: свободу. Свободу выбора партнера и свободу его не выбора.
Когда себя убедил, что партнер уже твой, когда вставил его в свою рациональную схему - какой он должен быть, и себя вставил туда же, когда утратил СВОИ интересы, СВОЮ независимость, СВОЙ выбор, СВОЮ свободу.
Так удобнее, так безопаснее, стабильнее. Уберегая себя от настоящего риска изменений ты обязательно обрекаешь себя на скуку. Кто-то и с ней справляется, а некоторые начинают искать приключений себе на одно известное место..
Итак, два условия выживания близости (любви) - осознание и устранение обиды-вины и сохранения собственной свободы, а значит и себя, любви достойной и любящей.
Спасибо за хорошие вопросы и доверие. Буду рад, если следующие вопросы появятся у нас на форуме в ""что делать"", чтобы остальные участники смогли присоединиться.","Личное, Психология","Отношения, Близость, Любовь, Вина, Обида"
12,https://dsisaev.livejournal.com/1529.html,Женщина и общественное мнение,"February 11 2011, 16:51","Удивительно дело. Выросла. Рано уехала от родителей в чужой город. Поступила. Выучилась. Устроилась. Научилась. Уволилась. Нашла, снова устроилась. Подружилась, переехала, пожила, невмоготу стало, ушла. Стала зарабатывать, сняла квартиру, обжилась, освоилась. Влюбилась, встречается, хорошо с ним. Не привязалась и его не привязала. Машину купила, опять научилась. И вдруг...
Господи!!! Уже ж 26!!! Караул!!! Не успеваю! Должна ж была до 25 замуж выйти, родить обязательно до 28! С ним никак нельзя по
социальным обстоятельствам, да и слишком хорошо с ним, чтобы сгнобить это в семье. Другие то вот как замужем живут - не приведи Боже. Маме внуков срочно подавай, подругам мужа предъяви.. Не успеваю!!  Срочно надо что- то предпринимать!!! Срочно! Время уходит.!
Удивительно дело. Словно у механизма тумблер врубается, запускается программа экстренного само-жизне-устранения. Чтоб как все, б.. Чтоб в общем стойле и как положено! По срокам и параметрам! К грядущим страданиям и общепринятым диагнозам в положенное время. По правилам, обычаям, приметам, гороскопам, советам бывалых на положенный срок. Без всяческого права на амнистию. Фатально. Как все.
Говорят, книга хорошая есть - Бегство от свободы. Не читал. Но обнаруживаю почти на каждой консультации. И в собственных мыслях и поступках. А как заметил - очухался, и поехали - ушел, вернулся, уволился, устроился, затеял, бросил, начал, а там видно будет.","Личное, Психология, Культура","Отношения, Семья, Свобода, Личность, Книги"
13,https://dsisaev.livejournal.com/15301.html,В Хайфе.,"May 2 2012, 18:34","Провели первую группу. Интересно, совсем другая мотивация у людей, робеют. В основном, еврейские мамы от 30 до 70, несколько углубленных в себя мрачноватых мужчин. Получилось что-то сказать, в основном говорили они, между собой.) Посмотрим, что будет сегодня. Группы проходят в доме Российской книги, в самом центре города.
Весь день гуляли по городу, красиво здесь, я люблю Хайфу. Дошли до моря, прохладное, 20 градусов, обмокнулись.
Завтра рано утром поедем в Иерусалим, жду свидания с Великим городом с волнением и радостью.
Posted via
LiveJournal app for iPad
.","Места, Психология","Израиль, Группы"
14,https://dsisaev.livejournal.com/15382.html,Иерусалим.,"May 3 2012, 20:49","Иерусалим, любовь моя, как же сладко вновь войти в тебя и быть с тобой.
Впечатления, ни с чем не сравнимые, каждый раз, каждый раз.
Жду тебя вновь.
Posted via
LiveJournal app for iPad
.
На первой фотографии мой брат Мишка, он в Иерусалиме уже 21 год. Мы выросли вместе. И сейчас вместе, слава БГу.","Места, Личное","Израиль, Родители, Семья"
15,https://dsisaev.livejournal.com/15659.html,(no title),"May 4 2012, 08:54","Закончили первую группу. Все получилось. Участники освоили язык. Прошла групповая динамика. Похвалили их и себя.
Сегодня и завтра марафон.  Посмотрим.
Место удивительное - на верху Хайфы над морем. Участники собираются. Сейчас начнем.
Это вид из нашего окна на порт Хайфы.
А это я прямо сейчас.
Posted via
LiveJournal app for iPad
.","Места, Психология","Израиль, Группы, Марафоны"
16,https://dsisaev.livejournal.com/18441.html,Ландшафтная аналитика 2 - 3 июня.,"June 4 2012, 15:49","Состоялась. Получилось интересно. Группа взрослая, ведущие опытные, погода замечательная ( до обратной дороги на Гаврилку, когда ливануло.) да и то, что ливануло - обедни не испортило, дополнив все возможные испытания.
Группа собралась на пристани, на ""москве"" познакомились, переплыли нашу городскую границу и втянулись в путешествие.
Лес всегда, во все времена года замечательно красив. Лесной участок - пожалуй мой любимый этап аналитики.
Дорога к одинокому дереву на лугу. Точная модель жизненного пути.
Пещера. Студеная наша.
Спуск с горы. Без происшествий. На небе видно потемнение, которое накроет нас через полчаса. По полной. До нитки.
На причале поделились  впечатлениями от пройденного. Сожалевших не было. Спасибо замечательной группе за произошедшее.
И до встречи через неделю.  Там же. Камлаем погоду).
Posted via
LiveJournal app for iPad
.","Психология, Места","Марафоны, Самара, Волга, Природа"
17,https://dsisaev.livejournal.com/18896.html,Ландшафтная аналитика. 9-10.06.2012. Лица. Символы.,"June 12 2012, 13:18","Еще одна маленькая жизнь. Открытия, преодоления, отношения. Прибытие, дорога, обратный путь. И снова большая жизнь. С возможностью нового.
Облако. Ветер. Коза. Ромашка. Береза. Клен. Дуб. Клевер.
Разумному - достаточно. И удачи!
Posted via
LiveJournal app for iPad
.","Психология, Места","Марафоны, Сценарии, Природа"
18,https://dsisaev.livejournal.com/18954.html,Времена.,"June 13 2012, 18:08","ЗахотеЛось послушать Грига. После вчерашней группы.
Зашел в контакт (там у моего младшего есть аккаунт, не вырос еще)).
В поиске аудиозаписей написал - Григ. Нажал.
Появился список. Григорий Лепс. Сплошной. Иногда со Стасом (пардон) Пьехой.
Не поленился - промотал до конца. Сплошной Лепс.
Подумал. Написал - Эдвард Григ. Нажал.
Слава Богу. Есть. Сейчас слушаю совершенно волшебную музыку.
Одно страшно - как заорет сейчас - РЮМКА ВОДКИ НА СТОЛЕЕЕЕЙЙ..
А мне консультировать людей еще сегодня.
Такие времена. Такое вот шествие гномов.","Культура, Личное, Стиль","Музыка, Дети, Технологии"
19,https://dsisaev.livejournal.com/19363.html,Сублимация.,"June 14 2012, 14:24","(с благословения рассказавшей)
Когда у нее начались панические атаки и она обошла всех врачей и всех экстрасексов и всех бабок и прочитала весь интернет и все анализы были пройдены и -
ничего не обнаружили и не объяснили -
она решила купить глюкометр.
Муж пожал плечами и дал денег.
Она прокалывала себя иголками и с интересом наблюдала динамику сахарной кривой.
Тест-полоски на месяц кончились за два дня. Покупать еще было бы непростительно дорого.
И она взяла термометр. Сахарная кривая заменилась на температурную. Стало легче.
Теперь - она ставит себе (в себя) градусник регулярно. Вечером, два раза ночью и утром.
Днем - ни-ни - на работе градусник не нужен,  работает много, успешно, но -
вечером-то - домой, а там -
он, родной, стекляный, твердый, с цифирками.
(у мужиков, кстати, другой любимый сублиматор - манжета от тонометра - упругая, облегающая, уплотняющаяся, если ритмично накачивать.)
Вопрос - почему у нее панические атаки?","Психология, Стиль","Психосоматика, Кейсы, Гаджеты"
20,https://dsisaev.livejournal.com/19491.html,У Сеньки юбилей!,"June 23 2012, 14:06","У моего сына Арсения сегодня день рождения - 10 лет!
Некоторая хроника событий:
За десять дней до его появления. Наташа, самая красивая.
А вот и он. Ему меньше пяти минут.
А это я. Через пять минут после его появления. Эмоцию видно хорошо.
А это он сегодня.
С днем рождения, сын!
Posted via
LiveJournal app for iPad
.","Личное, Психология","Дети, Семья, Радость"
21,https://dsisaev.livejournal.com/19894.html,Одиссея,"July 1 2012, 01:04","Нельзя предугадать. Очень трудно предвидеть. Невозможно предсказать.
Предчувствие. Пред-ощущение.
Путешествие - всегда без возможности вернуться прежним и в прежнее.
Обретение - от слова - ""Брести"".  Не бывает напрасных путешествий. Что - то обретешь.
Уплываешь - чтобы плыть.
Возвращаешься - чтобы вернуться.
Мне кажется, это очень важно. Уплыл - плыви.
Возвращаешься -  тоже всерьез.  Нельзя же умереть временно.
Моряки говорят - Отдать концы! Поплыли, значит.  ( почти как - Ласты склеить)).
Значит - поплыли.
(1 июля 12 года, пятая моя Одиссея)
Posted via
LiveJournal app for iPad
.","Места, Психология","Дорога, Свобода, Выбор"
22,https://dsisaev.livejournal.com/20105.html,(no title),"July 2 2012, 09:40","Прожили первый день.
Так много участников не было никогда. При этом:
Все успели вовремя, даже с опережением - поставили жилища, дополнительный стол, даже соорудили новый туалет.
Провели группу, познакомились поближе.
Еда: щи на обед - Лешкины, вкусные как всегда. На ужин - каша гречневая, любимая, с мясом.
Смотрели ""Одиссея"" Кончаловского, я этот фильм не люблю, обсуждение было, при этом, очень интересное. Зацепил вопрос - зачем людям боги?
Проснулись все до подъема, никто не замерз.
Алексей провел интересную свою зарядку. Зарядились. Пробегались до озера, искупались. Теплое.
Сейчас будет завтрак. Каша молочная. А я доем гречневую, любимую, с мясом).
После завтрака группа.
Интересного дня!
Ps:  пробовал разместить фотографию - бесполезно. Связь здесь не тянет(. Вчера не получилось посмотреть финал.  Все равно - итальянцам всяческий респект.
Posted via
LiveJournal app for iPad
.","Психология, Стиль, Культура, Места","Группы, Еда, Кино, Природа"
23,https://dsisaev.livejournal.com/20475.html,Одиссея день второй.,"July 3 2012, 09:46","Дождь. Он определил. На утреннюю группу сели под навес. Дождь. Трудно говорить - барабанит по крыше. Решился на то, что долго хотел, но не решался. Два часа молча и в восприятии. На обсуждении, Володя: Спасибо дождю, респект группе, нужно патентовать. Получилось больше ожиданий.
После обеда кино - Меланхолия Триера. Тоже побаивался - непростое кино. Получилось. Продолжением группы.
Все умрут - понятно. Я умру - невыносимо и жутко. Но необходимо. Чтобы отделить и выбрать. Как-то так.
Две палатки потекли, людей эвакуировали и разместили.
Утром, в 4 утра началось. Сороки устроили такой ништяк, что спать дальше в палатке было просто невозможно. Вышло солнце. В полный рост.
Леша провел потрясающую зарядку. Развесили промокшее и сырое. Готовимся завтракать.
Потом будет группа - ринг.
Вечером планируем в пещеры - горы. Завидуйте.
Posted via
LiveJournal app for iPad
.","Культура, Психология, Места","Кино, Группы, Смерть, Погода"
24,https://dsisaev.livejournal.com/20493.html,Одиссея день - ночь третий (я),"July 4 2012, 12:58","Провели ринг - пообсудили. Всегда драматично, на этот раз без трагедий и практически без обид. Полезно.
И пошли. К пещере пришли уже в темноте. Это в первый раз - работа в пещере ночью. Очень интересно перед пещерой - полнолуние, тихие люди вокруг неяркого  костра, пары, уходящие под землю каждый за своим.
Пришли две белки - соники - маленькие, черно белые, одна долго сидела на ветке, позировала.
Приходила лиса с низу по тропе, видели ее не все.
Потом пришел рассвет. Солнце, порезанное ветвями, молоко тумана над озерами. Тихо было вокруг, да и внутри тихо.
Вернулись. В деревне просыпались собаки. Люди - еще нет.
Сейчас пришли с озера, поплавали. Дым, самовар закипает, все до сих пор тихо.
Станем завтракать (или обедать) - совершенно бессмысленно определять.
После будем рисовать друг друга. Красками.
Одиссея, день уже четвертый.
Posted via
LiveJournal app for iPad
.","Психология, Места","Группы, Кейсы, Самара, Природа"
25,https://dsisaev.livejournal.com/20871.html,Одиссея. Продолжение.,"July 6 2012, 11:53","Сначала плакали. Горько. С воем, рыданием, матом, ногти в кулаки до крови.
Потом молчали. Переглядывались. Дышали.
Потом красками по лицу, по телу, крупными мазками и не скупясь.
Потом смеялись. Почти без повода. До хрипоты, до слез, с воем, матом, визгом, до потери дыхания.
Потом пошел дождь. И до утра.
И новый день. Сейчас будет группа. Поплачем - посмеемся. Даже подеремся. Искренне.
Очень важно выражать.
Posted via
LiveJournal app for iPad
.","Психология, Места","Эмоции, Группы, Погода"
26,https://dsisaev.livejournal.com/21358.html,Дети - от любви.,"July 11 2012, 23:54","Когда ей было 6 лет, она задала маме самый невинный вопрос этого возраста - откуда дети берутся?
Мама ответила гениально - дети появляются от любви. Ей стало понятно.
Когда в детском садике она влюбилась, то всерьез испугалась - а вдруг забеременею - любовь ведь..
Потом папа ушел и мама стала жить с другим дядей. А у него были свои дети. Вот они то и рассказали ей другую, физиологическую сторону деторождения. Это был удар.
Значит, подумала она, любовь не при чем. Да и вообще, зачем она, если дети появляются от этой гадости.
А жили они в одной комнате, и каждую ночь эта гадость выливалась на нее через заткнутые уши и подушки на голове.
Она сбежала из дома при первой возможности.
И проживает вполне достойную, но не счастливую жизнь. Откуда счастье без любви - то?
Ей очень важно понять, что мама была права.  Она - от любви. Каждый ребенок - от любви.
Нет никакого противоречия. Где любовь - нет грязи. Нет похоти и греха.
Поверить, помирить внутри папу с мамой, найти их любовь в себе. Это и есть - найти себя.
А потом найти того, кому это можно отдавать. А какой вменяемый человек откажется от счастья?","Личное, Психология","Дети, Отношения, Семья, Личность, Вина"
27,https://dsisaev.livejournal.com/21625.html,Тайна.,"July 17 2012, 01:11","В ашане закупал какие-то оставшиеся мелочи в путешествие. В том числе и почитать. Решил не брать никакую  электронику, ну ее.. Поэтому книгу купил,первый раз за последние два года - бумажную. Веллера.
Подошел к кассе, выкладываю. Кассирша, примерно ровесница, глаза поднимает, улыбается - Здравствуйте..
- Здравствуйте, и я улыбаюсь.
И тут она, неожиданно:
- А можно в книжку вашу заглянуть?
- Загляните -  удивляюсь.
Она открыла книгу наугад, и давай читать, неотрываясь, с полминуты.
Потом захлопнула, смотрит на меня:
- Спасибо.
- Все в порядке?
- Да, очень хорошо. И опять улыбается.
Я не заметил, какая была страница.
Утром мы уплываем. На двух байдарках, вокруг Самарской луки. Тревожно, хотя и заблудиться невозможно, и погода, и плаваю, как пробка. Наверное, потому что сам с собою плыву, без телефона. И с друзьями, которые позволят побыть с собой. И с бумажной книгой, где на какой-то странице живет маленькая тайна.","Культура, Места","Книги, Дорога"
